num__MSSubClass,num__LotArea,num__OverallCond,num__YearBuilt,num__YearRemodAdd,num__BsmtFinSF2,num__TotalBsmtSF,cat__MSZoning_C (all),cat__MSZoning_FV,cat__MSZoning_RH,cat__MSZoning_RL,cat__MSZoning_RM,cat__LotConfig_Corner,cat__LotConfig_CulDSac,cat__LotConfig_FR2,cat__LotConfig_FR3,cat__LotConfig_Inside,cat__BldgType_1Fam,cat__BldgType_2fmCon,cat__BldgType_Duplex,cat__BldgType_Twnhs,cat__BldgType_TwnhsE,cat__Exterior1st_AsbShng,cat__Exterior1st_AsphShn,cat__Exterior1st_BrkComm,cat__Exterior1st_BrkFace,cat__Exterior1st_CBlock,cat__Exterior1st_CemntBd,cat__Exterior1st_HdBoard,cat__Exterior1st_ImStucc,cat__Exterior1st_MetalSd,cat__Exterior1st_Plywood,cat__Exterior1st_Stone,cat__Exterior1st_Stucco,cat__Exterior1st_VinylSd,cat__Exterior1st_Wd Sdng,cat__Exterior1st_WdShing,SalePrice
-0.866764305,-0.21289571,0.372217301,-0.455468963,-1.346063028,-0.285504061,0.572612193,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,145000
0.074109959,-0.265244627,1.268608656,0.718608953,0.439213789,-0.285504061,-0.596546595,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,178000
-0.631545739,-0.177841462,1.268608656,-1.98829291,-1.683818102,-0.285504061,-0.603357228,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,85000
-0.161108607,-0.324474218,1.268608656,-1.107734473,-1.683818102,-0.285504061,-0.750920959,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,175000
-0.161108607,-0.529034817,0.372217301,-1.531707054,-1.683818102,-0.285504061,-0.081208644,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,127000
-0.866764305,-0.082720784,1.268608656,0.033730168,-0.622302156,-0.285504061,-0.380876527,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,149900
0.074109959,0.113564408,-0.524174055,1.109968259,0.969971762,-0.285504061,-0.857620887,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,174000
-0.161108607,-0.488494625,2.165000012,-1.596933605,1.066473212,-0.285504061,-0.603357228,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,125500
-0.866764305,0.130208202,0.372217301,0.327249648,-0.188045633,1.156167476,0.817795007,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,175500
-0.866764305,-0.142415286,-0.524174055,1.17519481,1.066473212,-0.285504061,0.985790638,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,225000
0.662156374,-0.21289571,-0.524174055,-0.161949484,-0.911806505,3.679092666,-0.562493426,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,129000
0.544547091,0.25201474,-0.524174055,-0.161949484,-0.911806505,0.523855398,-0.085749066,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,159950
-0.866764305,0.110681963,-0.524174055,0.229409821,-0.332797807,-0.285504061,0.47499311,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,157000
0.074109959,0.270611158,0.372217301,-0.19456276,0.24621089,-0.285504061,-0.666923143,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,205000
-0.866764305,-0.101317202,-0.524174055,-0.064109658,-0.76705433,-0.285504061,0.232080507,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,140000
0.074109959,-0.243765764,-0.524174055,1.012128432,0.825219588,-0.285504061,-0.117532023,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,200000
-0.866764305,0.958678625,-0.524174055,-0.585922065,-1.539065927,5.209287893,1.696366756,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,217000
-0.866764305,-0.228237755,1.268608656,-0.520695514,0.487464514,3.79290884,-0.537521102,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,125000
0.074109959,-0.254737651,0.372217301,0.196796546,-0.381048532,-0.285504061,-0.84399962,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,159500
-0.866764305,0.160520364,-0.524174055,0.490316025,0.053207991,1.02970506,1.235513874,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,184000
-0.27871789,-0.008893005,-0.524174055,-1.466480503,-1.683818102,-0.285504061,-0.666923143,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,96500
